Configuração,Modo/Concorrência,Tipo Pergunta,Repetição,Tempo RAG Total (s),Tempo 1ª Resposta (s),Tokens/s (Ollama),Tokens Gerados,Tempo Carga Modelo (s),RAM Usada Antes (MiB),RAM Usada Depois (MiB),VRAM Usada Antes (MiB),VRAM Usada Depois (MiB),GPU Util Depois (%),Threads App Depois,Sucesso,Avaliação,Erro
1 — Padrão,Sequencial,curta,1,43.2314,43.2313,63.44,129,0.4374,12030,11825,2206,2212,90,207,True,ADEQUADA — resposta coerente e contextualizada,
1 — Padrão,Sequencial,curta,2,52.3987,52.3985,63.17,178,0.4157,11878,11931,2212,2212,90,207,True,ADEQUADA — resposta coerente e contextualizada,
1 — Padrão,Sequencial,curta,3,46.405,46.4049,63.25,306,0.4209,12000,12027,2212,2212,89,207,True,ADEQUADA — resposta coerente e contextualizada,
1 — Padrão,Sequencial,longa,1,58.2628,58.2627,64.12,773,0.4308,12091,12036,2212,2212,87,207,True,ADEQUADA — resposta coerente e contextualizada,
1 — Padrão,Sequencial,longa,2,61.258,61.2579,63.24,587,0.4283,12269,12179,2212,2212,88,207,True,ADEQUADA — resposta coerente e contextualizada,
1 — Padrão,Sequencial,longa,3,61.9744,61.9742,64.47,306,0.4392,12210,12145,2212,2212,87,207,True,ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=1,curta,1,33.866,33.8646,N/A (lote),N/A,N/A,12197,12358,2212,2212,89,207,1/1,ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=1,curta,2,43.2345,43.2333,N/A (lote),N/A,N/A,12336,12268,2212,2212,90,207,1/1,ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=1,curta,3,33.5956,33.5945,N/A (lote),N/A,N/A,12295,12351,2212,2212,88,206,1/1,ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=1,longa,1,44.6652,44.6642,N/A (lote),N/A,N/A,12364,12449,2212,2212,88,206,1/1,ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=1,longa,2,60.182,60.181,N/A (lote),N/A,N/A,12450,12384,2212,2212,87,206,1/1,ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=1,longa,3,59.0983,59.0972,N/A (lote),N/A,N/A,12423,12537,2212,2248,88,206,1/1,ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=4,curta,1,161.8008,120.6756,N/A (lote),N/A,N/A,12543,12852,2248,2248,81,206,4/4,ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=4,curta,2,172.7065,137.2123,N/A (lote),N/A,N/A,12873,12883,2248,2248,82,206,4/4,ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=4,curta,3,197.2135,154.4325,N/A (lote),N/A,N/A,12976,13023,2248,2248,80,206,4/4,ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=4,longa,1,300.1062,215.7112,N/A (lote),N/A,N/A,13047,13329,2248,2248,79,207,3/4,ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada,1 erros
2 — Concorrência,N=4,longa,2,265.9244,199.5568,N/A (lote),N/A,N/A,13298,13916,2248,2248,81,208,4/4,ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada,
2 — Concorrência,N=4,longa,3,264.2284,198.202,N/A (lote),N/A,N/A,13930,14472,2248,2248,80,207,4/4,ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada; ADEQUADA — resposta coerente e contextualizada,
